Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
10,WINGS NUVOBOOK V1 LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),24990.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1080 x 1920 pixels",Intel Graphics,2.0,1.6,1.2,0.1,4.9,0.1961
11,ZEBRONICS PRO SERIES Z ZEB-NBC 4S LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),32990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated,2.0,3.2,1.2,0.1,6.5,0.197
12,ASUS VIVOBOOK 15 X1502ZA-EJ544WS LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),52990.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1227
13,HP VICTUS 16-S0094AX GAMING LAPTOP (AMD RYZEN 7 7840HS/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),81990.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 3050,6.8,3.2,2.16,0.1,12.26,0.1495
14,APPLE MACBOOK AIR 2024 LAPTOP (APPLE M3/ 8GB/ 256GB SSD/ MACOS),114900.0,Apple M3,Octa Core (4P + 4E),8 GB  RAM,256 GB SSD,"13.6 inches, 2560 x 1664 pixels",Apple 8 Core GPU,0.8,1.6,1.2,0.1,3.7,0.0322
15,DELL INSPIRON 3520 D560896WIN9B LAPTOP (12TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11),33790.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.145
16,LENOVO V15 82KDA01BIH LAPTOP (AMD RYZEN 3 5300U/ 8GB/ 512GB SSD/ WIN11 HOME),26749.0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,5.2,1.6,1.2,0.1,8.1,0.3028
17,APPLE MACBOOK AIR 2022 LAPTOP (APPLE M2/ 8GB/ 256GB SSD/ MACOS),99900.0,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,"13.6 inches, 2560 x 1664 pixels",8-Core GPU,0.8,1.6,1.2,0.1,3.7,0.037
18,SAMSUNG GALAXY BOOK 4 NP750XGK-KS2IN LAPTOP (INTEL CORE 5 PROCESSOR 120U/ 16GB/ 512GB SSD/ WIN11),75990.0,Intel Core 5 Processor Series 1 120U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Graphics,1.2,3.2,1.2,0.1,5.7,0.075
19,HP 14S-DQ5138TU LAPTOP (12TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),38990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.1257
20,ASUS TUF F15 FX506HF-HN024W GAMING LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),49990.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,1.6,1.2,0.1,4.9,0.098
21,LENOVO IDEAPAD GAMING 3 82K2025XIN LAPTOP (AMD RYZEN 5 5600H/ 16GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),54990.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,5.2,3.2,1.2,0.1,9.7,0.1764
22,LENOVO THINKPAD E14 20YES00K00 LAPTOP (AMD RYZEN 7 5800U/ 16GB/ 512GB SSD/ WIN10),79999.0,5th Gen AMD Ryzen 7 5800U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",AMD Raedon Graphics,5.2,3.2,1.2,0.1,9.7,0.1213
23,HP ENVY X360 15-FE0014TX LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11/ 4GB GRAPHICS),132490.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels, Touch Screen",4 GB NVIDIA GeForce RTX 3050,2.0,3.2,1.44,0.1,6.74,0.0509
24,LENOVO THINKPAD E14 21JKS13K00 LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11 HOME),96990.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel Iris Xe Graphics comes,2.0,3.2,1.2,0.1,6.5,0.067
25,LENOVO V14 82TSA0CWIH LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11 PRO),55490.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.0883
26,LENOVO V14 82TS005DIH LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ DOS),43490.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.1127
