Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
461,ASUS VIVOBOOK 16 2023 X1605VA-MB957WS LAPTOP (13TH GEN CORE I9/ 16GB/ 1TB SSD/ WIN11 HOME),95689.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Integrated Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0679
462,HP ZBOOK FIREFLY 14 G8 4F0W6PA LAPTOP (11TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 ),89900.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.0723
463,DELL INSPIRON 15 3511 IN35117W5CCS01ORB1 LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),44890.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1092
464,ASUS VIVOBOOK S14 FLIP TN3402QA-LZ551WS LAPTOP (AMD RYZEN 5 5600H/ 16GB/ 1TB SSD/WIN11),63990.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,5.2,3.2,1.2,0.1,9.7,0.1516
465,LENOVO IDEAPAD GAMING 3 82SB00V3IN LAPTOP (AMD RYZEN 5 6600H/ 16GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),63889.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,6.0,3.2,1.44,0.1,10.74,0.1681
466,ASUS VIVOBOOK S14 FLIP TN3402QA-LZ751WS LAPTOP (AMD RYZEN 7/ 16GB/ 1TB SSD/WIN11),68990.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,5.2,3.2,1.2,0.1,9.7,0.1406
467,LENOVO IDEAPAD 1 15AMN7 82VG00J5IN LAPTOP (AMD RYZEN 5 7520U / 8GB/ 512GB SSD/ WIN11 HOME),37990.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon 610M,6.8,1.6,1.2,0.1,9.7,0.2553
468,LENOVO THINKPAD T14 LAPTOP (AMD R7 PRO 4750U/ 16GB/ 512GB SSD/ WIN 10 PRO),90000.0,4th Gen AMD Ryzen 7 PRO 4750U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",AMD Radeon Graphics,4.4,3.2,1.2,0.1,8.9,0.0989
469,LENOVO IDEAPAD GAMING 3 82K2028AIN LAPTOP (AMD RYZEN 5 5600H/ 8GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),46490.0,5th Gen AMD Ryzen 5  5500H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB  NVIDIA GeForce RTX 2050,5.2,1.6,1.2,0.1,8.1,0.1742
470,LENOVO IDEAPAD SLIM 3 82RK011DIN LAPTOP (12TH GEN CORE I3/ 8GB/ 256GB SSD/ WIN11),32990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",‎Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1485
471,DELL VOSTRO 3520 LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),42990.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.114
472,HP 255 G9 724N9EA LAPTOP (AMD ATHLON SILVER 3050U/ 4GB/ 256GB SSD/ WIN11),21290.0,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,"15.6 inches, 1366 x 768 pixels",AMD Integrated,3.6,0.8,1.2,0.1,5.7,0.2677
473,LENOVO IDEAPAD 1 15AMN7 82VG00EQIN LAPTOP (AMD ATHLON 7120U / 8GB/ 512GB SSD/ WIN11 HOME),26990.0,AMD Athlon 7120U,"Dual Core, 2 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",AMD Radeon 610M Graphics,6.8,1.6,1.2,0.1,9.7,0.3594
474,DELL VOSTRO 3530 LAPTOP (13TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),55700.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Graphics ,2.0,1.6,1.2,0.1,4.9,0.088
475,LENOVO V14 G4 LAPTOP (AMD RYZEN 3 7320U / 8GB/ 512GB SSD/ WIN11 HOME),28990.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",AMD Radeon,6.8,1.6,1.2,0.1,9.7,0.3346
476,LENOVO THINKPAD E15 G4 21DJA0Y0IN LAPTOP (12TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11 HOME),57990.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1121
477,LENOVO V15 G3 82TTA02UIH LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),44990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.1089
478,MSI CREATOR Z16 HX B13VFTO-215IN LAPTOP (13TH GEN CORE I7/ 32GB/ 1TB SSD/ WIN11/ RTX4060),219990.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,6.4,2.4,0.1,10.9,0.0495
479,DELL VOSTRO 3525 LAPTOP (AMD RYZEN 5-5500U/ 8GB/ 512GB SSD/ WIN11),36990.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,5.2,1.6,1.2,0.1,8.1,0.219
480,ASUS ROG STRIX G16 2023 G614JJ-N3086WS GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),92990.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0802
481,ASUS ROG STRIX G16 2023 G614JJ-N3088WS GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),94990.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0785
482,MSI CREATOR PRO M16 B13VJ-1272IN GAMING LAPTOP (13TH GEN CORE I7/ 32GB/ 1TB SSD/ WIN 11/ 8GB GRAPH),249990.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",8 GB NVIDIA GeForce RTX A2000 Ada,2.0,6.4,2.4,0.1,10.9,0.0436
483,LENOVO IDEAPAD SLIM 3I 82X70032IN LAPTOP (13TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),43590.0,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1124
484,HP 240 G9 821J4PA LAPTOP (12TH GEN CORE I5/ 8GB/ 512 GB SSD/ WIN11),64490.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1366 x 768 pixels",Intel Integrated,2.0,1.6,1.2,0.1,4.9,0.076
485,LENOVO IDEAPAD FLEX 5 GEN 8 82XX0070IN LAPTOP (AMD RYZEN 5 7530U/ 16GB/ 512GB SSD/ WIN11 HOME),62990.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon AMD,6.8,3.2,1.2,0.1,11.3,0.1794
486,DELL INSPIRON 3530 15 LAPTOP (13TH GEN CORE I5/ 16GB/ 1TB SSD/ WIN11 HOME),66450.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,3.2,1.2,0.1,6.5,0.0978
487,LENOVO IDEAPAD 3 82H802L3IN LAPTOP (11TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),35232.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.1391
488,HP ZBOOK FIREFLY 16 G9 6V2X7PA WORKSTATION PC LAPTOP (12TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11),124000.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0524
489,ASUS ROG STRIX G17 G713RC-HX109WS GAMING LAPTOP (AMD RYZEN 7 6800H/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),79990.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB DDR5  RAM,512 GB SSD,"17.3 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,6.0,3.2,1.44,0.1,10.74,0.1343
490,LENOVO IDEAPAD SLIM 3 82H803HPIN LAPTOP (11TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),47490.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.1369
491,HP VICTUS 15-FA1132TX LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),59990.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,1.6,1.2,0.1,4.9,0.0817
492,INFINIX INBOOK X2 SLIM SERIES XL23 2023 LAPTOP (11TH GEN CORE I5/ 16GB/ 1TB SSD/ WIN 11 HOME),36990.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,1 TB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1757
493,LENOVO IDEAPAD GAMING 3 15IHU6 82K101PCIN LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),50990.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 2050,2.0,1.6,1.2,0.1,4.9,0.0961
494,ACER ASPIRE LITE 15 AL15-51 LAPTOP (11TH GEN CORE I3/16GB/ 512GB SSD/ WIN11),35499.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics ,2.0,3.2,1.2,0.1,6.5,0.1831
495,LENOVO YOGA 6 13ABR8 83B2007UIN LAPTOP (AMD RYZEN 7 7730U/ 16GB/ 1TB SSD/ WIN11 HOME),86190.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB LPDDR4X RAM,1 TB SSD,"13.3 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,6.8,3.2,1.2,0.1,11.3,0.1311
496,LENOVO IDEAPAD FLEX 5 82R900D4IN LAPTOP (AMD RYZEN 7 5700U/ 16GB/ 512GB SSD/ WIN11 HOME),64990.0,5th Gen AMD Ryzen 7 5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon,5.2,3.2,1.2,0.1,9.7,0.1493
497,ULTIMUS NEO NU14U3INT54BN LAPTOP (10TH GEN CORE I3/ 8GB/ 256GB SSD/WIN11 HOME),22000.0,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,"14.1 inches, 1920 x 1080 pixels",Intel Integrated Iris,2.0,1.6,1.2,0.1,4.9,0.2227
498,MICROSOFT SURFACE LAPTOP GO 3 (12TH GEN CORE I5/ 16 GB RAM/ 256 GB SSD/ WIN 11),89990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,256 GB SSD,"12.4 inches, 1536 x 1024 pixels, Touch Screen",Intel Iris Xe Graphics ,2.0,3.2,1.2,0.1,6.5,0.0722
499,HP VICTUS 15-FB0158AX GAMING LAPTOP (AMD RYZEN 5 5600H/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),50490.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX 6500M,5.2,1.6,1.32,0.1,8.22,0.1628
500,LENOVO LEGION SLIM 5 16APH8 82Y90042IN GAMING LAPTOP (AMD RYZEN 7 7840HS/ 16GB/ 512GB SSD/ WIN11/ 8GB GRAPH),128990.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,6.8,3.2,2.4,0.1,12.5,0.0969
501,LENOVO IDEAPAD GAMING 3 15IHU6 82K101PBIN LAPTOP (11TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),50990.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,1.6,1.2,0.1,4.9,0.0961
502,LENOVO LEGION SLIM 5 82Y9009KIN GAMING LAPTOP (AMD RYZEN 7 7840HS/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),114190.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 4050,6.8,3.2,1.8,0.1,11.9,0.1042
503,HP PAVILION X360 14-EK1021TU LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11),89990.0,13th Gen Intel Core i7 1355U ,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels, Touch Screen",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.0722
504,LENOVO IDEAPAD GAMING 3 15IAH7 82S9014LIN LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),67990.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,2.0,3.2,1.44,0.1,6.74,0.0991
505,HP VICTUS 15-FA1062TX GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME/ 6GB GRAPH),97000.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.0732
506,LENOVO S14 GEN 3 82TW001DIH LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),47990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1021
507,LENOVO YOGA PRO 7 82Y700A2IN LAPTOP (13TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11 HOME),104900.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB  LPDDR5 RAM,1 TB SSD,"14.5 inches, 2560 x 1600 pixels",Integrated Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.062
508,HP 15-FC0027AU LAPTOP (AMD RYZEN 3 7320U/ 8GB/ 512GB SSD/ WIN11 HOME),36990.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,6.8,1.6,1.2,0.1,9.7,0.2622
509,LENOVO LEGION SLIM 5 16APH8 82Y9008MIN GAMING LAPTOP (AMD RYZEN 7 7840HS/ 16GB/ 512GB SSD/ WIN11/ 8GB GRAPH),130990.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,6.8,3.2,2.4,0.1,12.5,0.0954
510,ACER ASPIRE 5 A515-58M NX.KHFSI.003 GAMING LAPTOP (13TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),40990.0,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1195
511,HP SPECTRE 17-CS0097NR FOLDABLE LAPTOP (12TH GEN CORE I7/ 16 GB RAM/ 1 TB SSD/ WIN 11),415000.0,12th Gen Intel Core i7 1250U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,"17 inches, 1920 x 2560 pixels, Touch Screen",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0157
512,ASUS VIVOBOOK 15 X515MA-BR022WS LAPTOP (CELERON N4020/ 8GB/ 512GB SSD/ WIN11 HOME),27490.0,Intel Celeron N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",Intel Integrated UHD 600,4.0,1.6,1.2,0.1,6.9,0.251
513,FUJITSU CH‎ 4ZR1L82433 LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),59806.0,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,"13.3 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.1087
514,ASUS VIVOBOOK 15 X1500EA-EJ311W LAPTOP (11TH GEN CORE I3/ 8GB/ 256GB SSD/ WIN11),28990.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.169
515,FUJITSU CH‎ 4ZR1L82434 LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11),69990.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,"13.3 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0929
516,ASUS VIVOBOOK 15 X1502ZA-EJ993WS LAPTOP (12TH GEN CORE I3/ 16GB/ 512GB SSD/ WIN11),39990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,3.2,1.2,0.1,6.5,0.1625
517,ASUS VIVOBOOK 15X OLED M3504YA-LK752WS LAPTOP (AMD RYZEN 7 7730U/ 16GB/ 1TB SSD/ WIN11 HOME),62990.0,7th Gen AMD Ryzen 7  7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated AMD Radeon Graphics,6.8,3.2,1.2,0.1,11.3,0.1794
518,ASUS VIVOBOOK 15 X1504ZA-NJ542WS LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),50990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.1275
519,HP PAVILION 15-EG3018TU LAPTOP (13TH GEN CORE I5/ 16GB/ 1TB SSD/ WIN11 HOME),72990.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4- RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0891
520,ACER NITRO V ANV15-51 GAMING LAPTOP (13TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11/ 6GB GRAPH),75990.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR5 SDRAM RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,1.6,1.8,0.1,5.5,0.0724
521,HP 15S-FQ3066TU LAPTOP (INTEL CELERON N4500/ 8GB/ 512GB SSD/ WIN11 HOME),28990.0,Intel Celeron N4500,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",Intel Integrated UHD,4.0,1.6,1.2,0.1,6.9,0.238
522,ASUS VIVOBOOK PRO 15 M6500RC-HN741WS LAPTOP (AMD RYZEN 7 6800H/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),72990.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,6.0,3.2,1.44,0.1,10.74,0.1471
523,HP VICTUS 15-FB1016AX  GAMING LAPTOP (AMD RYZEN 5 7535HS/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),62500.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,6.8,1.6,1.2,0.1,9.7,0.1552
524,LENOVO IDEAPAD 3 15ITL06 82H803GUIN LAPTOP (11TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11),36890.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1328
525,LENOVO IDEAPAD FLEX 5 82Y00053IN LAPTOP (13TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11 HOME),87990.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB  RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",‎Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0739
526,LENOVO YOGA 7 82YM0074IN LAPTOP (AMD RYZEN 7 7735U/ 16GB/ 1TB SSD/ WIN11 HOME),94190.0,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,"14 inches, 2880 x 1800 pixels, Touch Screen",AMD Radeon Graphics,6.8,3.2,1.2,0.1,11.3,0.12
527,LENOVO IDEAPAD 3 82H803HRIN LAPTOP (11TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11 HOME),59990.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.1084
528,HP 250 G9 7N179PA LAPTOP (12TH GEN CORE I5/ 8 GB RAM/ 512 GB SSD/ WIN 11),49990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",Intel Iris Xe Graphics,2.0,1.6,1.2,0.1,4.9,0.098
529,ASUS VIVOBOOK PRO 15 M6500QC-HN551WS LAPTOP (AMD RYZEN 5 5600HS/ 16 GB RAM/ 1 TB SSD/ WIN 11/ 4 GB GRAPHICS),69990.0,5th Gen AMD Ryzen 5 5600HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,5.2,3.2,1.44,0.1,9.94,0.142
530,LENOVO THINKPAD E15 21E6S07S00 LAPTOP (12TH GEN CORE I5/ 16 GB RAM/ 512 GB SSD/ WIN 11),77990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0833
531,ASUS VIVOBOOK PRO 15 M6500QC-HN751WS LAPTOP (AMD RYZEN 7 5800HS/ 16 GB RAM/ 1 TB SSD/ WIN 11/ 4 GB GRAPHICS),72990.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,5.2,3.2,1.44,0.1,9.94,0.1362
